matrix_id,baseline,p_NODF,p_Temp,sign_NODF,sign_Temp
Mixe_Zoque,r00,0.0000,0.0000,nested,nested
Mixe_Zoque,r1,0.0000,0.9680,nested,nested
Mixe_Zoque,r2,0.0000,0.0000,nested,antinested
Mixe_Zoque,swap,0.0000,0.7080,antinested,nested
Mongolic,c0,0.0000,0.0020,antinested,nested
Mongolic,c1,0.0000,0.0540,antinested,nested
Mongolic,curveball,0.0000,0.0000,antinested,nested
Mongolic,r0,0.0000,0.0000,nested,nested
Mongolic,r00,0.0000,0.0000,nested,nested
Mongolic,r1,0.0000,0.2680,nested,antinested
Mongolic,r2,0.0000,0.0000,nested,antinested
Mongolic,swap,0.0000,0.0000,antinested,nested
Muskogean,c0,0.0080,0.8160,antinested,antinested
Muskogean,c1,0.0020,0.5240,antinested,antinested
Muskogean,curveball,0.0060,0.0060,antinested,antinested
Muskogean,r0,0.0440,0.7340,nested,nested
Muskogean,r00,0.0400,0.5700,nested,nested
Muskogean,r1,0.0780,0.1200,nested,antinested
Muskogean,r2,0.0040,0.0000,nested,antinested
Muskogean,swap,0.0020,0.0060,antinested,antinested
Nadahup,c0,0.0340,0.7480,antinested,nested
Nadahup,c1,0.0180,0.8980,antinested,nested
Nadahup,curveball,0.0020,0.1540,antinested,antinested
Nadahup,r0,0.0100,0.1120,nested,nested
Nadahup,r00,0.0060,0.0780,nested,nested
Nadahup,r1,0.0300,0.4180,nested,antinested
Nadahup,r2,0.0000,0.0000,nested,antinested
Nadahup,swap,0.0020,0.1260,antinested,antinested
Nakh_Daghestanian,c0,0.0000,0.0000,nested,nested
Nakh_Daghestanian,c1,0.5280,0.0040,nested,nested
Nakh_Daghestanian,curveball,0.0040,0.0020,antinested,nested
Nakh_Daghestanian,r0,0.0000,0.0000,nested,nested
Nakh_Daghestanian,r00,0.0000,0.0000,nested,nested
Nakh_Daghestanian,r1,0.0000,0.1300,nested,antinested
Nakh_Daghestanian,r2,0.0000,0.0000,nested,antinested
Nakh_Daghestanian,swap,0.0080,0.0080,antinested,nested
Nambiquaran,c0,0.0000,0.0000,antinested,nested
Nambiquaran,c1,0.0000,0.0140,antinested,nested
Nambiquaran,curveball,0.0000,0.0000,antinested,antinested
Nambiquaran,r0,0.1300,0.0000,nested,nested
Nambiquaran,r00,0.0020,0.0000,nested,nested
Nambiquaran,r1,0.7000,0.6660,nested,antinested
Nambiquaran,r2,0.1400,0.0000,nested,antinested
Nambiquaran,swap,0.0000,0.0000,antinested,antinested
Narrow_Talodi,c0,0.0160,0.0620,antinested,nested
Narrow_Talodi,c1,0.0040,0.3660,antinested,nested
Narrow_Talodi,curveball,0.0000,0.0020,antinested,antinested
Narrow_Talodi,r0,0.0260,0.0120,nested,nested
Narrow_Talodi,r00,0.0020,0.0000,nested,nested
Narrow_Talodi,r1,0.3420,0.6460,nested,antinested
Narrow_Talodi,r2,0.0540,0.0000,nested,antinested
Narrow_Talodi,swap,0.0000,0.0000,antinested,antinested
Nilotic,c0,0.0000,0.0000,nested,nested
Nilotic,c1,0.0340,0.0000,nested,nested
Nilotic,curveball,0.0020,0.3440,antinested,nested
Nilotic,r0,0.0000,0.0000,nested,nested
Nilotic,r00,0.0000,0.0000,nested,nested
Nilotic,r1,0.0000,0.0000,nested,nested
Nilotic,r2,0.0000,0.0000,nested,antinested
Nilotic,swap,0.0000,0.4560,antinested,nested
